"date","currency","rate"
2003-09-04,"DKK",6.864
2003-09-04,"EEK",14.464
2003-09-04,"GBP",0.63662
2003-09-04,"HKD",7.7993
2003-09-04,"HUF",236.5
2003-09-04,"ISK",81.318
2003-09-04,"JPY",116.83
2003-09-04,"KRW",1173
2003-09-04,"LTL",3.192
2003-09-04,"LVL",0.57903
2003-09-04,"MTL",0.39203
2003-09-04,"NOK",7.573
2003-09-04,"NZD",1.7616
2003-09-04,"PLN",4.0352
2003-09-04,"ROL",34515
2003-09-04,"SEK",8.4396
2003-09-04,"SGD",1.7563
2003-09-04,"SIT",217.34
2003-09-04,"SKK",38.746
2003-09-04,"TRL",99999.99999
2003-09-04,"ZAR",7.2757
2003-09-04,"EUR",0.92439
2003-09-05,"USD",1
2003-09-05,"AUD",1.5557
2003-09-05,"BGN",1.7823
2003-09-05,"CAD",1.3734
2003-09-05,"CHF",1.4103
2003-09-05,"CYP",0.53342
2003-09-05,"CZK",29.861
2003-09-05,"DKK",6.7989
2003-09-05,"EEK",14.325
2003-09-05,"GBP",0.63343
2003-09-05,"HKD",7.7993
2003-09-05,"HUF",233.96
2003-09-05,"ISK",80.839
2003-09-05,"JPY",116.85
2003-09-05,"KRW",1170.6
2003-09-05,"LTL",3.1615
2003-09-05,"LVL",0.57686
2003-09-05,"MTL",0.3889
2003-09-05,"NOK",7.5405
2003-09-05,"NZD",1.7506
2003-09-05,"PLN",4.0655
2003-09-05,"ROL",34297
2003-09-05,"SEK",8.3494
2003-09-05,"SGD",1.7562
2003-09-05,"SIT",215.31
2003-09-05,"SKK",38.222
2003-09-05,"TRL",99999.99999
2003-09-05,"ZAR",7.3997
2003-09-05,"EUR",0.9155
2003-09-06,"USD",1
2003-09-06,"AUD",1.5557
2003-09-06,"BGN",1.7823
2003-09-06,"CAD",1.3734
2003-09-06,"CHF",1.4103
2003-09-06,"CYP",0.53342
2003-09-06,"CZK",29.861
2003-09-06,"DKK",6.7989
2003-09-06,"EEK",14.325
2003-09-06,"GBP",0.63343
2003-09-06,"HKD",7.7993
2003-09-06,"HUF",233.96
2003-09-06,"ISK",80.839
2003-09-06,"JPY",116.85
2003-09-06,"KRW",1170.6
2003-09-06,"LTL",3.1615
2003-09-06,"LVL",0.57686
2003-09-06,"MTL",0.3889
2003-09-06,"NOK",7.5405
2003-09-06,"NZD",1.7506
2003-09-06,"PLN",4.0655
2003-09-06,"ROL",34297
2003-09-06,"SEK",8.3494
2003-09-06,"SGD",1.7562
2003-09-06,"SIT",215.31
2003-09-06,"SKK",38.222
